OBJECTID_1,ID,CountyName,State,TOTPOP_CY,Deaths,Expected,Abnormal,Excess,COVID19,Unknown,Shape_Leng,IDFLOAT,FID_1,OBJECTID,FIPS_BEA,Shape_Le_1,Shape_Area,OBJECTID_2,FIPS_NUM,FIPS,STATE_1,ST_ABBR,COUNTY,LOCATION,SVI_RANK,risk_score,Covid_EVI,EVI_Rank,CASESPER10,DIFFPREVDA,DIFFPREV_1,PctUnemplo,population,populati_1,per_pop_ov,over_60_pe,icu_beds,positives,hospitals,licensed_b,staffed_be,deaths_1,Rating_Com,Rating_FWS,Rating_Haz,Rating_Hea,Rating_Ene,Rating_Saf,Rating_Tra,Pct_Diabet,HeartHospR,Pct_Obesit,Pct_Inacti,PM25_2014,UrbanRural,FoodInsRat,CASEDENSIT,POSITIVITY,INFECTIONR
1,01001,Autauga County,AL,57692,404,387,17,17,28,0,210512.095386,1001.0,1532,1,1001.0,2.01530342065,0.150257030298,0,0,0,,,,,0.0,0.0,0.0,0,0.0,0,0.0,0.0,0,0,0.0,,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0
2,01003,Baldwin County,AL,219443,1775,1841,-66,0,94,0,1543579.00679,1003.0,1533,2,1003.0,4.24396200793,0.409825490236,0,0,0,,,,,0.0,0.0,0.0,0,0.0,0,0.0,0.0,0,0,0.0,,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0
3,01005,Barbour County,AL,27401,220,232,-12,0,16,0,272036.19798,1005.0,0,3,1005.0,2.44108224674,0.223191924838,566,1005,1005,ALABAMA,AL,Barbour,"Barbour County, Alabama",0.9959,0.3094,87.78,1455,4431.07015234,3,0.25531914894,7.8,24881,4832,23.5,1230,5,1318,1,74,30,30,9.0,5.0,9.0,5.0,7.0,6.0,9.0,15.7,221.0,44.7,27.4,11.5,4,0.219,31.2496383144,0.1605,0.95980667055
4,01007,Bibb County,AL,23276,155,196,-41,0,19,0,190850.287642,1007.0,1,4,1007.0,1.89389254716,0.156432637833,567,1007,1007,ALABAMA,AL,Bibb,"Bibb County, Alabama",0.6003,0.09933,69.94,2398,5199.32182759,8,0.6734006734,5.8,22400,3690,21.1,null,4,1577,1,35,25,42,9.0,5.0,9.0,5.0,7.0,6.0,9.0,13.3,222.7,37.9,34.1,11.2,2,0.151,114.188749538,0.2741,1.23687492232
5,01009,Blount County,AL,59231,397,541,-144,0,12,0,242270.082326,1009.0,1534,5,1009.0,2.33454428269,0.164440997422,0,0,0,,,,,0.0,0.0,0.0,0,0.0,0,0.0,0.0,0,0,0.0,,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0
6,01011,Bullock County,AL,11119,96,106,-10,0,0,0,210646.234831,1011.0,2,6,1011.0,2.04185571957,0.154892250341,568,1011,1011,ALABAMA,AL,Bullock,"Bullock County, Alabama",0.8898,0.0259,53.81,2907,6579.81066642,2,0.28571428571,6.2,10138,1661,22.6,null,5,747,1,61,30,20,9.0,5.0,9.0,5.0,7.0,6.0,9.0,22.4,213.1,39.3,28.4,11.2,4,0.205,33.9428910857,0.243,1.05776184449
7,01013,Butler County,AL,20370,183,218,-35,0,27,0,187897.007177,1013.0,3,7,1013.0,1.79632606272,0.191763097946,569,1013,1013,ALABAMA,AL,Butler,"Butler County, Alabama",0.8653,0.33368,100.59,752,5761.51814536,5,0.42625745951,8.2,19680,3995,25.6,736,7,1384,1,72,44,45,9.0,5.0,9.0,5.0,7.0,6.0,9.0,16.9,243.7,40.9,33.5,10.6,4,0.191,88.2695735637,0.1618,1.11901032348
8,01015,Calhoun County,AL,116987,1274,1205,69,69,117,0,218584.376881,1015.0,4,8,1015.0,2.19722030741,0.154340170536,570,1015,1015,ALABAMA,AL,Calhoun,"Calhoun County, Alabama",0.8252,1.71646,101.11,728,5508.72142833,64,1.00534087339,6.6,114277,20247,23.5,1130,30,8459,3,486,413,137,9.0,5.0,9.0,5.0,7.0,6.0,9.0,15.6,242.1,37.3,29.2,11.8,3,0.174,100.724942941,0.2502,1.12139707482
9,01017,Chambers County,AL,33902,300,347,-47,0,10,0,174921.638963,1017.0,5,9,1017.0,1.67925130885,0.150373236198,571,1017,1017,ALABAMA,AL,Chambers,"Chambers County, Alabama",0.7382,0.71282,98.43,871,5178.13482361,7,0.39503386005,6.0,33615,6562,25.1,null,15,2090,1,115,0,58,9.0,5.0,9.0,5.0,7.0,6.0,9.0,17.5,214.5,40.8,31.0,11.4,4,0.164,46.396137092,0.1631,0.9010281588
10,01019,Cherokee County,AL,26036,241,256,-15,0,10,0,196157.470047,1019.0,1535,10,1019.0,1.8722712933,0.151950486792,0,0,0,,,,,0.0,0.0,0.0,0,0.0,0,0.0,0.0,0,0,0.0,,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0
11,01021,Chilton County,AL,45243,323,386,-63,0,19,0,208498.884319,1021.0,6,11,1021.0,2.08401830912,0.174829544762,572,1021,1021,ALABAMA,AL,Chilton,"Chilton County, Alabama",0.7602,0.73035,92.2,1214,5075.09987279,24,1.06666666667,4.2,44153,7411,21.5,1572,6,2649,1,30,26,47,9.0,5.0,9.0,5.0,7.0,6.0,9.0,16.8,217.2,35.3,30.3,11.2,2,0.158,43.4089184427,0.1394,1.01566339109
12,01023,Choctaw County,AL,13197,89,139,-50,0,10,0,275129.54513,1023.0,7,12,1023.0,2.68425517758,0.22766904119,573,1023,1023,ALABAMA,AL,Choctaw,"Choctaw County, Alabama",0.8748,0.03167,59.55,2759,3238.52863102,1,0.23474178404,5.8,12841,2953,28.5,null,4,470,1,25,25,20,9.0,5.0,9.0,5.0,7.0,6.0,9.0,13.9,181.1,41.7,30.8,10.1,4,0.207,29.5042156985,0.1452,-99.0
13,01025,Clarke County,AL,26263,234,251,-17,0,0,0,388687.663382,1025.0,8,13,1025.0,3.77162540835,0.308543314105,574,1025,1025,ALABAMA,AL,Clarke,"Clarke County, Alabama",0.8471,1.02947,82.68,1748,6390.46628809,9,0.56639395846,8.2,23920,4753,24.9,null,10,2154,2,85,56,24,9.0,5.0,9.0,5.0,7.0,6.0,9.0,20.1,202.1,40.0,31.0,10.4,4,0.211,85.372392967,0.2369,1.18508488824
14,01027,Clay County,AL,13802,159,138,21,21,30,0,203921.544999,1027.0,9,14,1027.0,2.02071768843,0.151898566796,575,1027,1027,ALABAMA,AL,Clay,"Clay County, Alabama",0.564,0.31322,74.28,2184,6604.92497667,0,0.0,3.5,13275,2751,26.0,870,4,1041,1,45,46,29,9.0,5.0,9.0,5.0,7.0,6.0,9.0,11.2,220.2,38.2,29.0,10.6,4,0.159,49.6518970263,0.0708,0.85932722908
15,01029,Cleburne County,AL,15180,153,168,-15,0,0,0,220123.501413,1029.0,10,15,1029.0,2.16996958324,0.141271386312,576,1029,1029,ALABAMA,AL,Cleburne,"Cleburne County, Alabama",0.5417,0.17727,73.24,2239,5150.27141533,4,0.51679586563,3.6,14987,2915,24.7,null,0,941,0,0,0,15,9.0,5.0,9.0,5.0,7.0,6.0,9.0,10.4,235.4,34.9,27.3,11.0,4,0.175,68.0272108844,0.2548,1.02226969142
16,01031,Coffee County,AL,52689,417,410,7,7,16,0,173425.809281,1031.0,11,16,1031.0,1.67865220647,0.167151427176,577,1031,1031,ALABAMA,AL,Coffee,"Coffee County, Alabama",0.5408,0.92847,95.76,1001,4783.37089907,18,0.73022312373,3.7,51909,8801,21.6,1575,7,3126,1,131,99,29,9.0,5.0,9.0,5.0,7.0,6.0,9.0,14.4,176.9,33.5,29.3,10.9,4,0.156,74.237023532,0.2276,1.16065508596
17,01033,Colbert County,AL,55896,527,548,-21,0,51,0,215434.024684,1033.0,1536,17,1033.0,2.11773432212,0.158906120959,0,0,0,,,,,0.0,0.0,0.0,0,0.0,0,0.0,0.0,0,0,0.0,,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0
18,01035,Conecuh County,AL,12723,141,155,-15,0,0,0,263946.982512,1035.0,12,18,1035.0,2.49487584977,0.209495757077,578,1035,1035,ALABAMA,AL,Conecuh,"Conecuh County, Alabama",0.8086,0.27781,93.06,1174,5452.96029167,3,0.43795620438,7.1,12277,2762,28.0,null,8,798,1,58,44,15,9.0,5.0,9.0,5.0,7.0,6.0,9.0,23.7,301.9,39.4,32.9,10.3,4,0.195,29.5966567617,0.1314,0.75945589464
19,01037,Coosa County,AL,10817,113,127,-14,0,0,0,175642.866337,1037.0,13,19,1037.0,1.73336074737,0.166405818136,579,1037,1037,ALABAMA,AL,Coosa,"Coosa County, Alabama",0.5261,0.21444,67.2,2513,3299.77628635,8,2.31213872832,4.7,10715,2481,28.7,null,0,451,0,0,0,6,9.0,5.0,9.0,5.0,7.0,6.0,9.0,17.9,221.0,40.8,29.2,11.0,4,0.164,33.4936563015,0.2502,0.69419809002
